Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2024,15,ABT,RB,Chase Brown,CIN,@TEN,15,0,0,0,0,0,25,97,1,9,3,3,16,1,1,0,33.30,33.30
2024,15,ABT,WR,Keenan Allen,CHI,@MIN,32,0,0,0,0,0,0,0,0,0,13,6,82,1,4,0,18.20,18.20
2024,15,ABT,QB,Bryce Young,CAR,DAL,29,19,28,219,1,2,3,12,1,1,0,0,0,0,0,2,12.96,12.96
2024,15,ABT,WR,Puka Nacua,LAR,@SF,4,0,0,0,0,0,2,11,0,0,8,7,97,0,2,0,12.80,12.80
2024,15,ABT,RB,Saquon Barkley,PHI,PIT,12,0,0,0,0,0,19,65,0,4,2,2,9,0,0,0,11.40,11.40
2024,15,ABT,QB,Caleb Williams,CHI,@MIN,4,18,31,191,1,0,4,3,0,0,0,0,0,0,0,1,9.94,9.94
2024,15,ABT,WR,DJ Moore,CHI,@MIN,32,0,0,0,0,0,3,24,0,1,8,8,46,0,0,0,8.00,8.00
2024,15,ABT,TE,Hunter Henry,NE,@ARI,8,0,0,0,0,0,0,0,0,0,4,4,25,0,1,0,3.50,3.50
2024,15,ABT,RB,Najee Harris,PIT,@PHI,3,0,0,0,0,0,6,14,0,1,1,1,7,0,0,0,3.10,3.10
2024,15,ABT,DST,Eagles,PHI,PIT,11,,,,,,,,,,,,,,,,8.00,8.00
2024,15,CLC,WR,DeVonta Smith,PHI,PIT,14,0,0,0,0,0,1,1,0,0,12,11,109,1,6,0,23.00,23.00
2024,15,CLC,QB,Jordan Love,GB,@SEA,12,20,27,229,2,0,1,4,0,0,0,0,0,0,0,0,17.56,17.56
2024,15,CLC,RB,Breece Hall,NYJ,@JAC,30,0,0,0,0,0,9,30,1,3,2,2,21,0,0,0,14.10,14.10
2024,15,CLC,TE,Dalton Kincaid,BUF,@DET,1,0,0,0,0,0,0,0,0,0,7,4,53,0,2,0,7.30,7.30
